,index,pose,keypoints
10,10,HOLD,"[0.0, 0.0, 0.0, 0.19767441860465115, -0.05813953488372093, -9.699283744179967e-05, 0.375968992248062, -0.18604651162790697, -0.000139221674210157, 0.5077519379844961, -0.29069767441860467, -0.00017738483310836273, 0.624031007751938, -0.32945736434108525, -0.00021443951599524046, 0.24031007751937986, -0.5, -5.98966818221322e-05, 0.313953488372093, -0.689922480620155, -0.0001096244160581933, 0.3488372093023256, -0.810077519379845, -0.00015792079774150594, 0.37209302325581395, -0.9147286821705426, -0.00019706370798820716, 0.12790697674418605, -0.5271317829457365, -6.513665999488355e-05, 0.16666666666666666, -0.751937984496124, -0.00010870004591489065, 0.18604651162790697, -0.8875968992248062, -0.00015550546679090203, 0.19767441860465115, -1.0, -0.0001922042400631798, 0.011627906976744186, -0.5155038759689923, -8.434443726262424e-05, 0.031007751937984496, -0.7286821705426356, -0.00013781988212470904, 0.05426356589147287, -0.8604651162790697, -0.0001862229110721474, 0.07751937984496124, -0.9651162790697675, -0.00021974134048454564, -0.10465116279069768, -0.46511627906976744, -0.00011401595575569255, -0.15891472868217055, -0.627906976744186, -0.00017351792402212052, -0.1937984496124031, -0.7364341085271318, -0.0002072441899793097, -0.21705426356589147, -0.8333333333333334, -0.0002280897016042891]"
11,11,HOLD,"[0.0, 0.0, 0.0, 0.1969111969111969, -0.06177606177606178, -9.741688543434586e-05, 0.3745173745173745, -0.1891891891891892, -0.0001397244392112489, 0.5096525096525096, -0.2972972972972973, -0.00017776727633946466, 0.6293436293436293, -0.3359073359073359, -0.00021458398954187857, 0.23938223938223938, -0.5019305019305019, -5.922244049767086e-05, 0.3127413127413127, -0.694980694980695, -0.000108867485701723, 0.3436293436293436, -0.8146718146718147, -0.00015731756133822216, 0.3667953667953668, -0.918918918918919, -0.0001965442928466171, 0.1274131274131274, -0.528957528957529, -6.426866264086248e-05, 0.16602316602316602, -0.752895752895753, -0.00010779589659818627, 0.18146718146718147, -0.8918918918918919, -0.00015521868388064397, 0.19305019305019305, -1.0, -0.00019249211192030522, 0.015444015444015444, -0.5173745173745173, -8.335667616281547e-05, 0.03088803088803089, -0.7297297297297297, -0.00013682197780121984, 0.05405405405405406, -0.861003861003861, -0.00018552264033957155, 0.07335907335907337, -0.9652509652509652, -0.00021934823309952505, -0.10424710424710425, -0.47104247104247104, -0.00011291193557191356, -0.16216216216216217, -0.6293436293436293, -0.00017189713936414315, -0.1969111969111969, -0.7374517374517374, -0.0002054205808758349, -0.22007722007722008, -0.8378378378378378, -0.0002262887365927641]"
12,12,HOLD,"[0.0, 0.0, 0.0, 0.2, -0.06153846153846154, -9.445929720208404e-05, 0.3769230769230769, -0.18846153846153846, -0.0001341555464532663, 0.5115384615384615, -0.29615384615384616, -0.0001699940570078367, 0.6269230769230769, -0.3384615384615385, -0.0002048598512813599, 0.24615384615384617, -0.5, -5.6268165527757656e-05, 0.3153846153846154, -0.6961538461538461, -0.00010327286838695762, 0.34615384615384615, -0.8153846153846154, -0.0001495888080540908, 0.36923076923076925, -0.9192307692307692, -0.0001876004953603482, 0.13076923076923078, -0.5307692307692308, -6.175614857113487e-05, 0.16923076923076924, -0.75, -0.00010317499354838534, 0.18461538461538463, -0.8884615384615384, -0.00014960779270657335, 0.19615384615384615, -1.0, -0.00018651186523886037, 0.019230769230769232, -0.5192307692307693, -8.096021348824077e-05, 0.038461538461538464, -0.7307692307692307, -0.0001331395738206381, 0.057692307692307696, -0.8615384615384616, -0.00018230373433359895, 0.08076923076923077, -0.9653846153846154, -0.00021668029769465681, -0.1, -0.46923076923076923, -0.00011030547857641383, -0.1576923076923077, -0.6307692307692307, -0.0001692335103373265, -0.19230769230769232, -0.7384615384615385, -0.0002038248510121303, -0.21923076923076923, -0.8384615384615385, -0.00022550506624248521]"
13,13,HOLD,"[0.0, 0.0, 0.0, 0.20077220077220076, -0.06177606177606178, -9.340635736685713e-05, 0.3783783783783784, -0.1891891891891892, -0.00013435686268150365, 0.5096525096525096, -0.28957528957528955, -0.00017184583975750757, 0.6254826254826255, -0.3359073359073359, -0.00020839204510415634, 0.2471042471042471, -0.5019305019305019, -5.671488008192858e-05, 0.3166023166023166, -0.694980694980695, -0.0001050046028269513, 0.3474903474903475, -0.8146718146718147, -0.00015244012657488886, 0.37065637065637064, -0.918918918918919, -0.0001910684239977324, 0.13127413127413126, -0.5328185328185329, -6.352881000518129e-05, 0.16988416988416988, -0.752895752895753, -0.0001057961407152131, 0.18532818532818532, -0.8918918918918919, -0.00015311910747770426, 0.19305019305019305, -1.0, -0.00019074272718878115, 0.019305019305019305, -0.5212355212355212, -8.393380713948203e-05, 0.03474903474903475, -0.7335907335907336, -0.00013629031711312584, 0.05791505791505792, -0.8648648648648649, -0.0001851820338253558, 0.07722007722007722, -0.9691119691119691, -0.00021960537026956986, -0.10038610038610038, -0.47104247104247104, -0.00011433258590069767, -0.1583011583011583, -0.6293436293436293, -0.00017352516898066171, -0.19305019305019305, -0.7374517374517374, -0.00020756632516031812, -0.22007722007722008, -0.8378378378378378, -0.00022875901263402025]"
14,14,HOLD,"[0.0, 0.0, 0.0, 0.2, -0.06538461538461539, -9.18823192359005e-05, 0.3769230769230769, -0.18846153846153846, -0.00013325056474127012, 0.5038461538461538, -0.2923076923076923, -0.0001712340544655761, 0.6192307692307693, -0.3423076923076923, -0.000208279272516056, 0.2423076923076923, -0.5, -5.8717155803724205e-05, 0.3153846153846154, -0.6961538461538461, -0.00010798211407533769, 0.3423076923076923, -0.8153846153846154, -0.00015542565613169647, 0.36153846153846153, -0.9192307692307692, -0.0001934507114989095, 0.12692307692307692, -0.5307692307692308, -6.615908942874372e-05, 0.16538461538461538, -0.75, -0.00010833446206139394, 0.18461538461538463, -0.8923076923076924, -0.00015480098226080286, 0.19230769230769232, -1.0, -0.00019163387309231, 0.015384615384615385, -0.5153846153846153, -8.681096692828743e-05, 0.03461538461538462, -0.7307692307692307, -0.0001381209519653208, 0.05384615384615385, -0.8615384615384616, -0.00018590631089862288, 0.07307692307692308, -0.9653846153846154, -0.00021974114541008634, -0.10384615384615385, -0.46923076923076923, -0.00011727586801566322, -0.16153846153846155, -0.6269230769230769, -0.000175243827990484, -0.19615384615384615, -0.7346153846153847, -0.00020811252279108098, -0.2230769230769231, -0.8346153846153846, -0.00022842085688490845]"
15,15,HOLD,"[0.0, 0.0, 0.0, 0.19615384615384615, -0.06538461538461539, -9.227320681081717e-05, 0.3730769230769231, -0.19230769230769232, -0.00013351909802194174, 0.5, -0.29615384615384616, -0.00017115699543086732, 0.6153846153846154, -0.35, -0.00020763532459419857, 0.2423076923076923, -0.5038461538461538, -5.723480264411871e-05, 0.31153846153846154, -0.6961538461538461, -0.00010621350101237462, 0.3384615384615385, -0.8153846153846154, -0.000153502414865268, 0.36153846153846153, -0.9192307692307692, -0.0001912335448279324, 0.12692307692307692, -0.5307692307692308, -6.407984446704736e-05, 0.16538461538461538, -0.7538461538461538, -0.00010583781981381435, 0.18076923076923077, -0.8923076923076924, -0.00015181819679329378, 0.18846153846153846, -1.0, -0.00018815847529498779, 0.011538461538461539, -0.5192307692307693, -8.447510677718548e-05, 0.03076923076923077, -0.7307692307692307, -0.0001358966785866974, 0.05, -0.8615384615384616, -0.0001832189122957026, 0.06923076923076923, -0.9653846153846154, -0.0002165541137379443, -0.1076923076923077, -0.46923076923076923, -0.00011472340372576512, -0.16538461538461538, -0.6307692307692307, -0.00017279427484508092, -0.2, -0.7384615384615385, -0.00020543910835481955, -0.22692307692307692, -0.8346153846153846, -0.00022551296408043807]"
16,16,HOLD,"[0.0, 0.0, 0.0, 0.1969111969111969, -0.06177606177606178, -9.09914722483924e-05, 0.3745173745173745, -0.1891891891891892, -0.000131057142008673, 0.5019305019305019, -0.2972972972972973, -0.0001674849866840243, 0.6138996138996139, -0.35135135135135137, -0.0002028416449899252, 0.23938223938223938, -0.5019305019305019, -5.646006283128235e-05, 0.3127413127413127, -0.694980694980695, -0.00010339813446997327, 0.33976833976833976, -0.8146718146718147, -0.0001489038715431462, 0.3590733590733591, -0.915057915057915, -0.00018554696320427543, 0.1274131274131274, -0.5328185328185329, -6.317687990213105e-05, 0.16216216216216217, -0.752895752895753, -0.00010338097512122399, 0.1776061776061776, -0.8918918918918919, -0.00014853426233542584, 0.18532818532818532, -1.0, -0.00018459842374746977, 0.011583011583011582, -0.5212355212355212, -8.317612244446417e-05, 0.02702702702702703, -0.7335907335907336, -0.0001335454201776422, 0.05019305019305019, -0.861003861003861, -0.00018066712058049483, 0.0694980694980695, -0.9652509652509652, -0.00021420687282268255, -0.10810810810810811, -0.47104247104247104, -0.00011277940070167583, -0.16988416988416988, -0.6293436293436293, -0.00017018077359096996, -0.20463320463320464, -0.7374517374517374, -0.00020262311859801582, -0.23166023166023167, -0.8378378378378378, -0.00022280838113814818]"
17,17,HOLD,"[0.0, 0.0, 0.0, 0.1969111969111969, -0.06177606177606178, -8.980622704691374e-05, 0.3745173745173745, -0.18532818532818532, -0.00012993401854000922, 0.5019305019305019, -0.28957528957528955, -0.00016681637739849334, 0.6138996138996139, -0.3474903474903475, -0.00020292354505761214, 0.24324324324324326, -0.4980694980694981, -5.603917456307893e-05, 0.3127413127413127, -0.694980694980695, -0.00010406688282654978, 0.33976833976833976, -0.8146718146718147, -0.00015071237893904925, 0.3590733590733591, -0.915057915057915, -0.00018783260980894634, 0.1274131274131274, -0.528957528957529, -6.347027289857701e-05, 0.16602316602316602, -0.752895752895753, -0.00010390391216351224, 0.18146718146718147, -0.8918918918918919, -0.00014976268881342552, 0.1891891891891892, -1.0, -0.00018651522346251225, 0.015444015444015444, -0.5173745173745173, -8.40412683932428e-05, 0.03088803088803089, -0.7297297297297297, -0.00013362181141836268, 0.05405405405405406, -0.8571428571428571, -0.00018059514746048702, 0.0694980694980695, -0.9575289575289575, -0.00021426509787943798, -0.10424710424710425, -0.4671814671814672, -0.00011415588229815898, -0.16602316602316602, -0.6293436293436293, -0.00017037871860895804, -0.20463320463320464, -0.7374517374517374, -0.00020195696886708345, -0.23166023166023167, -0.833976833976834, -0.00022159503085078847]"
18,18,HOLD,"[0.0, 0.0, 0.0, 0.19767441860465115, -0.06201550387596899, -8.764151356891742e-05, 0.375968992248062, -0.18992248062015504, -0.0001253672829565766, 0.5038759689922481, -0.29844961240310075, -0.00016028312940418856, 0.6162790697674418, -0.35658914728682173, -0.00019458248362473415, 0.2441860465116279, -0.5038759689922481, -5.189938185008596e-05, 0.313953488372093, -0.7015503875968992, -9.881737724474832e-05, 0.34108527131782945, -0.8217054263565892, -0.00014513507387385485, 0.36046511627906974, -0.9224806201550387, -0.00018217923064977297, 0.12790697674418605, -0.5348837209302325, -6.022312428781827e-05, 0.16279069767441862, -0.7558139534883721, -9.948686100435485e-05, 0.17829457364341086, -0.8953488372093024, -0.00014499088492455083, 0.18604651162790697, -1.0, -0.00018159423012092731, 0.015503875968992248, -0.5232558139534884, -8.173468316429944e-05, 0.031007751937984496, -0.7364341085271318, -0.00013083202392044592, 0.050387596899224806, -0.8643410852713178, -0.0001777647616460956, 0.06589147286821706, -0.9651162790697675, -0.0002115343160541173, -0.10852713178294573, -0.4728682170542636, -0.00011265714836394738, -0.16666666666666666, -0.6317829457364341, -0.0001691750941253138, -0.2054263565891473, -0.7403100775193798, -0.00020095242681380065, -0.23255813953488372, -0.8372093023255814, -0.0002207000462948504]"
19,19,HOLD,"[0.0, 0.0, 0.0, 0.1969111969111969, -0.06177606177606178, -8.9763289846596e-05, 0.3745173745173745, -0.1891891891891892, -0.00012885035892719915, 0.5019305019305019, -0.2972972972972973, -0.00016431808554076308, 0.6138996138996139, -0.3552123552123552, -0.00019911892765746143, 0.24324324324324326, -0.5019305019305019, -5.6845049791441805e-05, 0.3127413127413127, -0.694980694980695, -0.00010435039036991501, 0.3436293436293436, -0.8146718146718147, -0.00015010240652855287, 0.36293436293436293, -0.918918918918919, -0.00018668492985977157, 0.1274131274131274, -0.528957528957529, -6.3758224900252e-05, 0.16602316602316602, -0.752895752895753, -0.00010410166611321172, 0.18146718146718147, -0.8918918918918919, -0.00014976823792042869, 0.1891891891891892, -1.0, -0.00018643316352238054, 0.015444015444015444, -0.5173745173745173, -8.371441804542954e-05, 0.03088803088803089, -0.7297297297297297, -0.00013365621354597865, 0.05405405405405406, -0.861003861003861, -0.00018134328068922372, 0.0694980694980695, -0.9613899613899614, -0.00021559078055467833, -0.10810810810810811, -0.4671814671814672, -0.00011305867356001629, -0.16602316602316602, -0.6293436293436293, -0.00017023729854117478, -0.20463320463320464, -0.7374517374517374, -0.0002029549266795807, -0.23166023166023167, -0.833976833976834, -0.00022340859710488528]"
20,20,HOLD,"[0.0, 0.0, 0.0, 0.1969111969111969, -0.06177606177606178, -9.275968698505803e-05, 0.3745173745173745, -0.1891891891891892, -0.00013427050328897766, 0.5019305019305019, -0.29343629343629346, -0.00017178312660919267, 0.6177606177606177, -0.35135135135135137, -0.00020854480907538296, 0.23938223938223938, -0.5019305019305019, -5.9567271317281136e-05, 0.3127413127413127, -0.6988416988416989, -0.00010869266729141828, 0.3436293436293436, -0.8146718146718147, -0.0001559643214163042, 0.36293436293436293, -0.918918918918919, -0.0001938422677028923, 0.1274131274131274, -0.5328185328185329, -6.634056824789618e-05, 0.16602316602316602, -0.752895752895753, -0.00010826958075037868, 0.18146718146718147, -0.8918918918918919, -0.00015479744255127208, 0.1891891891891892, -1.0, -0.00019190264280973326, 0.011583011583011582, -0.5173745173745173, -8.642473014900197e-05, 0.03088803088803089, -0.7297297297297297, -0.00013804197855712437, 0.05019305019305019, -0.861003861003861, -0.0001860156485362272, 0.0694980694980695, -0.9652509652509652, -0.00022018721864305022, -0.10810810810810811, -0.4671814671814672, -0.00011618969895019108, -0.16602316602316602, -0.6293436293436293, -0.0001746831140812629, -0.20077220077220076, -0.7374517374517374, -0.00020754110943211164, -0.2277992277992278, -0.833976833976834, -0.00022793882858613816]"
21,21,HOLD,"[0.0, 0.0, 0.0, 0.19540229885057472, -0.06130268199233716, -9.539755701450715e-05, 0.3716475095785441, -0.18773946360153257, -0.0001380395991124246, 0.49808429118773945, -0.2988505747126437, -0.00017636334464356522, 0.6168582375478927, -0.3524904214559387, -0.00021351300998554538, 0.2413793103448276, -0.5019157088122606, -6.086475110262452e-05, 0.3103448275862069, -0.6934865900383141, -0.00010996013071233905, 0.3371647509578544, -0.8122605363984674, -0.0001570715648678361, 0.3563218390804598, -0.9157088122605364, -0.00019484015650564845, 0.12643678160919541, -0.5287356321839081, -6.615798183216608e-05, 0.16475095785440613, -0.7509578544061303, -0.00010838149969722281, 0.18007662835249041, -0.8888888888888888, -0.00015405597805408846, 0.1839080459770115, -1.0, -0.0001901392397969909, 0.01532567049808429, -0.5172413793103449, -8.495578240506199e-05, 0.03065134099616858, -0.7279693486590039, -0.0001366001811966419, 0.04980842911877394, -0.8582375478927203, -0.0001832466391756907, 0.06896551724137931, -0.9616858237547893, -0.00021611147847100856, -0.10727969348659004, -0.4674329501915709, -0.00011383952099818542, -0.16475095785440613, -0.6245210727969349, -0.00017173063928485537, -0.20306513409961685, -0.7318007662835249, -0.00020375434799558065, -0.22988505747126436, -0.8314176245210728, -0.0002233951774810756]"
22,22,HOLD,"[0.0, 0.0, 0.0, 0.19615384615384615, -0.06153846153846154, -9.41121472317482e-05, 0.36923076923076925, -0.18846153846153846, -0.00013614155296087695, 0.49615384615384617, -0.29615384615384616, -0.00017422490912126092, 0.6153846153846154, -0.35, -0.0002111837147648561, 0.2423076923076923, -0.5, -5.726166873162041e-05, 0.31153846153846154, -0.6961538461538461, -0.00010627365113588912, 0.3423076923076923, -0.8115384615384615, -0.00015411312707479615, 0.36153846153846153, -0.9153846153846154, -0.0001926592216024075, 0.12692307692307692, -0.5307692307692308, -6.319573379617903e-05, 0.16538461538461538, -0.7538461538461538, -0.00010552009654870831, 0.18076923076923077, -0.8923076923076924, -0.0001523362782267467, 0.18846153846153846, -1.0, -0.00018955291694311427, 0.015384615384615385, -0.5192307692307693, -8.292254291039679e-05, 0.03076923076923077, -0.7307692307692307, -0.0001354829359641485, 0.05, -0.8615384615384616, -0.0001844824959580758, 0.06538461538461539, -0.9653846153846154, -0.00021902643947785148, -0.10384615384615385, -0.46923076923076923, -0.00011254891697168782, -0.16538461538461538, -0.6269230769230769, -0.0001721383310409736, -0.20384615384615384, -0.7346153846153847, -0.0002065219294694797, -0.23076923076923078, -0.8346153846153846, -0.00022790316149730381]"
